,id,Beds,Baths,Balconies, Covered Parking,Carpet Area,Developer,Project,Status,Facing,Lifts,Furnished Status,Car parking,Age of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Flooring,Overlooking,Additional Rooms,Water Availability,Status of Electricity,Lift,Num of Amenities,Floor,Balcony,Super Built-up Area,Type of Ownership,Authority Approval,Bed,RERA ID,Bath,Floors allowed for construction
1703,4d423730353038333833,,,,,334,,,Immediately,East,,Unfurnished,,New Construction,"₹10,000","₹60,000Pay Zero Deposit","Belmac Riverside, Panvel Matheran Rd, near NMMT Bus top, Akurli, New Panvel 410206, Akurli, Navi Mumbai - Central Navi Mumbai, Maharashtra",,Unfurnished,Marble,"Garden/Park, Main Road",,,,,0,1 (Out of 5 Floors),1,,,,1,,1,
1704,4d423731353933303839,4,3,5,,1200,,,Immediately,East,,Unfurnished,,5 to 10 years,"₹28,000 | ₹2,000 Monthly Maintenance",₹1.0 LacPay Zero Deposit,"Sector 10, Kamothe, Navi Mumbai, Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",Kamothe Police Station,Unfurnished,Marbonite,Garden/Park,Puja Room,,,,0,7 (Out of 7 Floors),,,,,,,,
1705,4d423331343430363931,,,3,,580,,,Immediately,South,,Unfurnished,1 Open,New Construction,"₹11,000","₹40,000Pay Zero Deposit","Flat 503, Plot 5A, Sec 10E, Road Pali Kalamboli, Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",,Unfurnished,"Granite, Normal Tiles/Kotah Stone","Garden/Park, Main Road",,24 Hours Available,No/Rare Powercut,,0,5 (Out of 14 Floors),,,,,1,,1,
1706,4d423637363330373531,,2,3,,400,Avicon Infra LLP,Levante,Immediately,,4,Semi-Furnished,,New Construction,"₹14,500","₹50,000Pay Zero Deposit","Ulwe Navi Mumbai, Ulwe, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",,Semi-Furnished,,"Garden/Park, Main Road",,24 Hours Available,No/Rare Powercut,4,38,12 (Out of 13 Floors),,,,,1,,,
1707,4d423731363537393439,2,2,,,,Gami Group,Gami Reagan,Immediately,,,Furnished,,,"₹50,000","₹3,00,000Pay Zero Deposit","Ghansoli, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",,Furnished,,,,,,,7,4 (Out of 5 Floors),,1162sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹43/sqft,,,,,,
1708,4d423538383935353033,,,,,350,,,Immediately,West,,Unfurnished,,10 to 15 years,"₹15,000","₹30,000Pay Zero Deposit","Sector 2, Airoli, Sector 2 Airoli, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",Opp.Rajesh health club and sanjeev swimming pool,Unfurnished,Ceramic Tiles,Main Road,,24 Hours Available,No/Rare Powercut,,0,,,,,,1,,1,
1709,4d423535383230373533,,,3,1 ,350,Arihant Superstructures Ltd.,Arihant Anshula,Immediately,,,Furnished,"1 Covered, 1 Open",Less than 5 years,"₹14,000","₹20,000Pay Zero Deposit","e 203, Taloja, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",,Furnished,,,,,,,19,2 (Out of 4 Floors),,,,,1,,1,
1710,4d423731363139333237,3,3,2,,,The Wadhwa Group,Wadhwa Palm Beach Residency,Immediately,,,Furnished,,,₹1.5 Lac,"₹9,00,000Pay Zero Deposit","Palm Beach Road, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",,Furnished,,"Garden/Park, Main Road",,,,,19,8 (Out of 26 Floors),,2100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹71/sqft,,,,,,
1711,4d423731363139353939,2,2,4,,1040,,,Immediately,,,Furnished,,5 to 10 years,"₹25,000","₹50,000Pay Zero Deposit","Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",tawa hotel,Furnished,,Main Road,Store,,,,0,5 (Out of 7 Floors),,,,,,,,
1712,4d423631333637383437,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
